npi_row_index,pecos_row_indices
17288,[9129]
17297,[3804]
17394,[7585]
17503,"[1472, 3386, 9439]"
17634,[8289]
17680,"[732, 1462]"
17684,[5069]
17963,[6293]
18057,[2161]
18097,[7997]
18106,"[1597, 681, 9207]"
18278,[5641]
18301,[4561]
18306,"[3565, 895, 881, 3338, 1226, 789, 3512, 2761, 3808, 355, 2764, 1042, 317, 2925, 9175, 899, 1741, 2731]"
18441,"[4573, 4150]"
18449,[3952]
18509,"[8559, 131]"
18618,"[8142, 9419]"
18714,[9726]
18822,[4981]
19098,"[9439, 1472, 3386]"
19279,[4432]
19324,[5061]
19346,[8530]
19424,[1312]
19448,[7059]
19486,[6815]
19518,"[4232, 5388]"
19574,"[821, 2773]"
19637,[2521]
19680,[4432]
19681,[4765]
19901,[566]
19945,[1203]
20046,"[7394, 859]"
20060,"[1889, 1396]"
20127,"[324, 2209, 1781, 2763]"
20130,"[4456, 4947]"
20140,"[9175, 2764, 3338, 895, 1741, 1226, 789, 2761, 881, 3565, 3808]"
20147,[7566]
20172,"[5871, 4076]"
20204,[9711]
20218,[7470]
20289,[2261]
20302,"[8559, 131]"
20421,"[3162, 9378, 1198]"
20427,[8559]
20434,[3076]
20530,[3609]
20665,"[225, 8616, 3349]"
20738,"[1396, 1889]"
20742,[4981]
20847,[1245]
20850,"[3565, 895, 3338, 3512, 1226, 881, 789, 2761, 3808, 317, 355, 1042, 2764, 2925, 899, 9175, 1741]"
21014,"[2168, 5871, 6009, 4076]"
21016,"[2880, 2885, 815, 4661]"
21031,"[3565, 895, 789, 2761, 3338, 3808, 881, 355, 2764, 1226, 3512, 317, 1741, 1042, 2925, 9175, 899]"
21103,[7764]
21162,[3076]
21194,"[1861, 8937]"
21210,[7377]
21277,"[8199, 6824]"
21429,"[430, 1421]"
21440,"[1415, 2330, 1796, 8993, 3650]"
21511,"[3684, 3201, 4384]"
21665,"[8142, 9419]"
21673,[733]
21742,"[9439, 1472]"
21755,"[1396, 1889]"
21776,"[1976, 402]"
21865,[4391]
21989,"[4150, 7245, 4573]"
22027,[3649]
22056,"[1931, 7866]"
22080,[9129]
22234,"[434, 2171]"
22351,"[6261, 7212]"
22397,"[1738, 9977]"
22693,[792]
22798,[3649]
22843,"[306, 1744, 1944]"
22877,"[1738, 9977]"
23114,[6106]
23125,"[9439, 1472, 3386]"
23224,"[1077, 7059]"
23248,"[1597, 681]"
23354,[4054]
23369,[328]
23385,[733]
23400,"[1472, 9439]"
23409,"[3201, 3684, 4384]"
23425,[4717]
23440,[6106]
23442,"[1042, 899, 2925, 881, 3808, 2731, 317, 2764, 355, 789, 3512, 1741, 2761, 3565, 7379, 9175, 1226, 3338, 2938, 3538, 895]"
23449,[9943]
23513,[182]
23533,"[5878, 369]"
23536,"[1396, 1889]"
23538,[4717]
23591,[4796]
23654,[9542]
23748,"[131, 8559]"
23803,[2809]
23816,"[9175, 2761, 1042, 3338, 881, 1741, 1226, 2764, 355, 789, 3808, 7379, 3512, 3565, 895]"
23821,[9072]
23926,"[6009, 2168]"
24059,[4432]
24068,"[4573, 4150, 3461]"
24178,"[3201, 3684]"
24470,[1831]
24620,"[5543, 6348, 7634]"
24784,[1831]
24794,[2289]
24916,[4717]
25074,[3076]
25219,"[1396, 1889]"
25254,"[4573, 7245, 4150]"
