npi_row_index,pecos_row_indices
6815,[3401]
6827,[1134]
6828,[824]
6831,[3334]
6833,"[90, 3505]"
6836,[811]
6838,[3984]
6841,[1842]
6857,[2494]
6860,"[2682, 2140]"
6861,[2969]
6868,"[9378, 3162]"
6886,[3609]
6889,[2329]
6890,[4787]
6896,[2528]
6911,[2341]
6920,[2152]
6928,[638]
6929,[3048]
6949,[2734]
6967,[2518]
6991,[3865]
7002,[1902]
7006,"[7260, 3744, 1023, 212, 797, 6875]"
7029,"[2069, 1836]"
7036,[8142]
7059,[3499]
7066,[2287]
7069,[2899]
7074,[3513]
7080,[9419]
7101,[2216]
7102,[125]
7125,[2289]
7126,[3464]
7128,"[970, 1688]"
7136,[2996]
7138,"[1363, 3018]"
7140,[3181]
7182,"[3649, 1245]"
7185,[3502]
7197,[762]
7201,[349]
7205,[2628]
7207,[669]
7210,[1160]
7213,[2755]
7214,[3376]
7235,"[3676, 1820]"
7240,"[816, 534]"
7252,"[3409, 1484]"
7269,[5831]
7274,[451]
7304,"[3252, 560]"
7309,[944]
7315,[976]
7329,"[2894, 3728, 1342, 1833]"
7349,"[3674, 221]"
7357,"[3134, 472]"
7358,[3913]
7363,[3462]
7371,"[2700, 683]"
7379,"[3461, 7245]"
7401,[3438]
7403,[3327]
7410,[729]
7433,[994]
7435,[1234]
7442,"[3423, 1785]"
7446,[1010]
7488,"[3393, 3600]"
7489,"[3711, 569]"
7496,[3388]
7533,"[290, 427]"
7572,[2406]
7575,"[3637, 3404, 3230, 3635]"
7582,[3061]
7590,[8015]
7602,"[4661, 2880, 815, 2885, 6339]"
7603,[2599]
7639,"[448, 1232]"
7654,"[1740, 826]"
7657,[3122]
7658,[1502]
7679,"[2745, 3173]"
7680,[1295]
7684,[1532]
7685,[1169]
7686,[3226]
7705,"[4418, 992, 4714]"
7720,[743]
7729,"[8142, 9419]"
7732,[3303]
7742,[928]
7746,[2292]
7752,[1477]
7757,[2817]
7770,[4435]
7783,"[2177, 1498]"
7784,[3767]
7786,"[9175, 2761, 895, 1226, 3565, 3338, 789, 3512, 2764, 1042, 355, 3808, 1741, 7379, 317, 3538]"
7788,"[2221, 7764]"
7794,[364]
7817,"[2393, 503]"
7822,"[2480, 518]"
7834,"[4150, 4573, 3461]"
7835,[9231]
7837,[3268]
7850,"[2679, 1684]"
7876,[1412]
7881,"[2689, 7540]"
7883,[3314]
7893,[3797]
7895,"[2270, 3290, 2569]"
7896,[3569]
7899,[641]
7901,[1963]
7902,[1500]
7903,[777]
7904,[614]
7906,[3685]
7908,"[3437, 1341, 2387, 877]"
7910,"[371, 1383]"
7914,"[771, 760, 3966, 24, 1201, 2439, 2835]"
7917,[3174]
7919,"[1718, 1899]"
7921,"[1260, 881, 1042, 3338, 317, 3565, 895, 1226, 2925, 789, 899, 2761, 2731, 3808, 3512, 2938, 355, 2764, 7379, 3538]"
7923,[3522]
7925,[1481]
7931,[7764]
7940,"[3528, 3219]"
7945,[1900]
7946,[3461]
7950,"[1245, 3649]"
7952,[977]
7957,[1513]
7959,"[3660, 1655, 1862, 1876]"
7961,"[3396, 2348, 958]"
7963,[3568]
7968,[2809]
7970,[231]
7971,[3781]
7974,"[3323, 1245]"
7975,[175]
7978,[2845]
7979,[109]
7982,"[109, 1856]"
7983,[2153]
7986,[440]
7989,"[1449, 2729]"
7990,"[821, 2773]"
7992,[461]
7993,"[789, 2761, 3808, 3338, 355, 2764, 1226, 3565, 895, 881, 3512, 1042, 1741, 2925, 899, 317, 9175]"
7994,"[1657, 2010, 2326, 662]"
7997,"[3338, 3565, 895, 1226, 881, 1042, 317, 2925, 899, 3512, 2938, 789, 3538, 2731, 2761, 3808, 355, 2764, 7379]"
8001,[3064]
8004,[1135]
8005,"[3253, 1554]"
8007,[303]
8008,"[872, 3319]"
8011,"[3143, 1245]"
8012,[2688]
8013,[958]
8014,[1173]
8017,"[1586, 3076]"
8019,[2981]
8021,"[3659, 1846, 438, 3754, 2296]"
8030,[958]
8032,"[3521, 3503]"
8035,"[674, 2535]"
8036,[2784]
8042,"[973, 1253, 1368, 454, 3571]"
8043,[3729]
8045,[300]
8047,"[2227, 2340]"
8053,[1798]
8054,[0]
8056,[1119]
8061,"[1866, 3859, 2313, 1579, 159, 820, 3225]"
8062,[3247]
8064,"[2251, 1961, 7158]"
8065,[2583]
8072,[4479]
8075,"[2780, 5543, 6348]"
8107,[3615]
8110,[496]
8112,"[1579, 159, 820, 3225, 1866, 3859, 2313]"
8114,[453]
8122,[1507]
8124,[3286]
8125,"[3952, 991]"
8128,"[63, 2280]"
8132,"[2308, 2483]"
8133,[2024]
8134,"[3205, 1247, 2112]"
8137,"[676, 508, 1841]"
8139,[2944]
8140,[109]
8141,"[3761, 321]"
8143,"[848, 1597, 681, 9207]"
8146,"[1123, 2012]"
8147,[1370]
8150,"[3650, 1796, 1415, 2330, 8993, 4949]"
8151,[1391]
8153,[3042]
8156,[3024]
8157,[602]
8158,[2550]
8160,"[1931, 7866]"
8161,"[312, 378, 1623, 3816]"
8162,[168]
8163,"[3596, 2350]"
8165,[103]
8168,[1538]
8172,[3020]
8187,[1947]
8190,"[2708, 4765]"
8191,"[2787, 2647, 1548, 2428, 7570]"
8196,[3649]
8203,[2395]
8204,"[5861, 4037]"
8205,[1503]
8207,[2661]
8208,[1263]
8210,"[792, 334, 3488, 2919]"
8215,[439]
8216,[721]
8218,[337]
8221,"[3872, 3337]"
8227,[2024]
8230,"[430, 1421, 285, 962]"
8231,[412]
8233,"[1291, 500]"
8234,[3302]
8237,"[2970, 9158]"
8239,"[186, 1458, 2747, 1049, 774, 2600, 2622]"
8242,"[2229, 60]"
8245,"[3549, 2024]"
8246,[605]
8250,[1587]
8251,[2302]
8252,"[3316, 3331]"
8256,[1397]
8263,"[8142, 9419]"
8266,"[3162, 1198, 9378]"
8273,[8137]
8275,"[597, 654]"
8281,"[1312, 1078]"
8284,[316]
8285,"[789, 3565, 895, 3338, 2761, 3808, 1226, 355, 2764, 1042, 3512, 881, 1741, 2925, 317, 899, 9175]"
8288,"[375, 273, 1221, 26, 953]"
8290,"[789, 3565, 895, 3338, 1226, 2761, 3808, 355, 2764, 1042, 3512, 881, 1741, 317, 2925, 899]"
8292,[5069]
8294,"[1617, 908, 3618]"
8296,[8880]
8297,[1826]
8301,[951]
8302,[1582]
8303,"[207, 869]"
8305,"[160, 2530]"
8306,[1790]
8307,"[3565, 895, 789, 3338, 1226, 317, 2761, 3808, 881, 355, 2764, 3512, 1042, 2925, 899, 1741, 2731, 9175]"
8308,"[1468, 1046]"
8315,[1832]
8329,[3086]
8330,[3382]
8332,"[1472, 9439, 3386]"
8333,"[3641, 574]"
8334,[4770]
8336,"[2031, 363]"
8337,[2725]
8340,[2901]
8341,[1883]
8342,"[82, 687]"
8345,[526]
8369,[1783]
8370,"[2155, 2426]"
8374,"[545, 978]"
8375,[733]
8378,[1998]
8381,[304]
8382,"[3772, 3878]"
8383,[2400]
8388,"[1583, 1280]"
8389,"[3650, 1796, 1415, 2330, 9852, 4949, 8993]"
8397,[2521]
8400,[1000]
8403,[2853]
8405,[358]
8408,"[2155, 2426]"
8411,[3506]
8412,"[2402, 3877]"
8414,[3003]
8415,"[3848, 1673]"
8420,"[2155, 2426]"
8423,[1731]
8426,"[3338, 3565, 895, 1226, 789, 2761, 3808, 355, 2764, 3512, 881, 2925, 899, 9175, 1042, 317, 1741]"
8427,[3137]
8428,[2934]
8429,"[3282, 9886]"
8431,[3472]
8433,[3967]
8436,"[2296, 3659, 1846]"
8439,[3844]
8446,[959]
8447,[607]
8448,"[3650, 1796, 1415, 8993, 4949]"
8449,[958]
8450,"[693, 3546, 871]"
8454,[2261]
8458,"[554, 3880, 2974]"
8461,"[1597, 9207, 681]"
8466,[3742]
8468,[3201]
8469,[1467]
8471,"[1198, 3162, 9378]"
8472,"[2705, 2681, 4384]"
8474,"[1752, 119]"
8475,[127]
8476,[532]
8482,"[261, 2572]"
8483,[901]
8487,[1478]
8489,[1576]
8491,[891]
8500,"[9565, 8411]"
8503,"[585, 1935, 1110]"
8507,"[65, 1137, 3576, 1529]"
8509,"[2951, 1148]"
8520,"[3684, 3201, 4384]"
8525,[3836]
8534,"[2056, 1250, 2244]"
8535,"[3473, 2527]"
8536,[1203]
8537,[230]
8540,[3952]
8544,[9921]
8545,"[2565, 340]"
8546,[2039]
8548,"[3159, 469]"
8553,"[3201, 3684]"
8556,"[1396, 1889]"
8560,"[3850, 3580]"
8561,"[1245, 3649]"
8562,[3631]
8565,"[273, 1221, 375, 953, 26]"
8566,[2007]
8567,"[3667, 2900, 2677]"
8568,[2185]
8569,[3786]
8570,"[1145, 3430, 3614]"
8571,[873]
8572,"[29, 3683, 2433, 1032]"
8573,[1881]
8579,[647]
8581,"[501, 936]"
8582,[2335]
8584,"[1448, 1726]"
8585,"[1457, 2623]"
8588,"[2557, 3737]"
8589,[870]
8590,[3030]
8591,[3903]
8595,"[1001, 527]"
8597,[9129]
8598,[624]
8600,[3581]
8602,[2846]
8603,[78]
8604,"[2131, 2501]"
8606,[2748]
8608,[3786]
8609,[6401]
8614,"[306, 1744, 1944]"
8618,[1884]
8620,"[1117, 3275]"
8625,"[2084, 9129]"
8626,[7314]
8629,"[2470, 52]"
8630,[1136]
8631,[3163]
8637,[1830]
8639,"[1203, 2369, 403]"
8647,[1641]
8648,[1714]
8653,[471]
8654,"[2128, 1407]"
8656,[1332]
8658,[4391]
8660,[1762]
8662,[3008]
8663,"[104, 2408, 2632]"
8664,[48]
8666,[3981]
8669,[1898]
8674,[2885]
8680,[3201]
8684,[4770]
8686,[42]
8689,"[3500, 888, 2453, 3657]"
8691,[4981]
8693,"[85, 3566]"
8694,[2372]
8695,[1500]
8699,[2008]
8700,[1720]
8701,"[1759, 3876]"
8706,[3949]
8707,[1182]
8709,"[681, 1597, 6893]"
8713,[1849]
8726,"[2426, 2456, 3633, 2155]"
8731,"[1530, 145]"
8733,[11]
8738,[2809]
8741,[648]
8743,"[1819, 716, 1683]"
8745,[3777]
8748,"[181, 2624, 1190]"
8749,[423]
8750,[3622]
